,Permit Creation Date,Revised Cost,Zipcode,Revised_Cost_Range,Low,Very Low,High,Medium,Very High,Extremely High
224,2017-08-21,1.0,94114.0,Very Low,0,1,0,0,0,0
225,2017-08-21,7500.0,94102.0,Low,1,0,0,0,0,0
226,2017-08-23,61000.0,94117.0,Medium,0,0,0,1,0,0
227,2017-08-23,4500.0,94118.0,Low,1,0,0,0,0,0
228,2017-08-23,1.0,94110.0,Very Low,0,1,0,0,0,0
229,2017-08-23,1.0,94114.0,Very Low,0,1,0,0,0,0
230,2017-08-23,1.0,94109.0,Very Low,0,1,0,0,0,0
231,2017-08-24,1.0,94117.0,Very Low,0,1,0,0,0,0
232,2017-08-24,1.0,94110.0,Very Low,0,1,0,0,0,0
233,2017-08-24,111277.0,94121.0,High,0,0,1,0,0,0
234,2017-08-24,10000.0,94122.0,Low,1,0,0,0,0,0
235,2017-08-24,0.0,94110.0,Very Low,0,1,0,0,0,0
236,2017-08-25,111277.0,94110.0,High,0,0,1,0,0,0
237,2017-08-25,1.0,94117.0,Very Low,0,1,0,0,0,0
238,2017-08-25,1.0,94117.0,Very Low,0,1,0,0,0,0
239,2017-08-28,1.0,94110.0,Very Low,0,1,0,0,0,0
240,2017-08-28,1.0,94107.0,Very Low,0,1,0,0,0,0
241,2017-08-28,1.0,94115.0,Very Low,0,1,0,0,0,0
242,2017-08-29,1.0,94117.0,Very Low,0,1,0,0,0,0
243,2017-08-29,0.0,94118.0,Very Low,0,1,0,0,0,0
244,2017-08-29,1.0,94108.0,Very Low,0,1,0,0,0,0
245,2017-08-29,0.0,94117.0,Very Low,0,1,0,0,0,0
246,2017-08-29,1.0,94114.0,Very Low,0,1,0,0,0,0
247,2017-08-30,43500.0,94110.0,Medium,0,0,0,1,0,0
248,2017-08-30,0.0,94108.0,Very Low,0,1,0,0,0,0
249,2017-08-30,0.0,94121.0,Very Low,0,1,0,0,0,0
250,2017-08-30,93000.0,94131.0,Medium,0,0,0,1,0,0
251,2017-08-30,0.0,94109.0,Very Low,0,1,0,0,0,0
252,2017-08-30,1.0,94123.0,Very Low,0,1,0,0,0,0
253,2017-08-30,1.0,94123.0,Very Low,0,1,0,0,0,0
254,2017-08-31,0.0,94121.0,Very Low,0,1,0,0,0,0
255,2017-09-01,1.0,94107.0,Very Low,0,1,0,0,0,0
256,2017-09-01,111277.0,94112.0,High,0,0,1,0,0,0
257,2017-09-05,1.0,94123.0,Very Low,0,1,0,0,0,0
258,2017-09-05,19895.0,94117.0,Medium,0,0,0,1,0,0
259,2017-09-05,1.0,94114.0,Very Low,0,1,0,0,0,0
260,2017-09-06,0.0,94110.0,Very Low,0,1,0,0,0,0
261,2017-09-06,21000.0,94109.0,Medium,0,0,0,1,0,0
262,2017-09-06,1.0,94123.0,Very Low,0,1,0,0,0,0
263,2017-09-06,5000.0,94134.0,Low,1,0,0,0,0,0
264,2017-09-06,1.0,94116.0,Very Low,0,1,0,0,0,0
265,2017-09-06,0.0,94133.0,Very Low,0,1,0,0,0,0
266,2017-09-06,1.0,94110.0,Very Low,0,1,0,0,0,0
267,2017-09-06,1.0,94121.0,Very Low,0,1,0,0,0,0
268,2017-09-07,1.0,94114.0,Very Low,0,1,0,0,0,0
269,2017-09-07,1.0,94117.0,Very Low,0,1,0,0,0,0
270,2017-09-07,1.0,94122.0,Very Low,0,1,0,0,0,0
271,2017-09-07,1.0,94110.0,Very Low,0,1,0,0,0,0
272,2017-09-08,1.0,94114.0,Very Low,0,1,0,0,0,0
273,2017-09-08,1025.0,94103.0,Low,1,0,0,0,0,0
274,2017-09-08,5500.0,94124.0,Low,1,0,0,0,0,0
275,2017-09-11,0.0,94131.0,Very Low,0,1,0,0,0,0
276,2017-09-11,42000.0,94121.0,Medium,0,0,0,1,0,0
277,2017-09-12,1.0,94117.0,Very Low,0,1,0,0,0,0
278,2017-09-12,1.0,94115.0,Very Low,0,1,0,0,0,0
279,2017-09-12,4500.0,94110.0,Low,1,0,0,0,0,0
280,2017-09-13,1.0,94115.0,Very Low,0,1,0,0,0,0
281,2017-09-13,1.0,94132.0,Very Low,0,1,0,0,0,0
282,2017-09-12,0.0,94117.0,Very Low,0,1,0,0,0,0
283,2017-09-13,0.0,94118.0,Very Low,0,1,0,0,0,0
284,2017-09-13,1.0,94114.0,Very Low,0,1,0,0,0,0
285,2017-09-13,1.0,94109.0,Very Low,0,1,0,0,0,0
286,2017-09-14,0.0,94110.0,Very Low,0,1,0,0,0,0
287,2017-09-15,0.0,94133.0,Very Low,0,1,0,0,0,0
288,2017-09-15,1.0,94117.0,Very Low,0,1,0,0,0,0
289,2017-09-15,111277.0,94122.0,High,0,0,1,0,0,0
290,2017-09-15,0.0,94109.0,Very Low,0,1,0,0,0,0
291,2017-09-15,0.0,94108.0,Very Low,0,1,0,0,0,0
292,2017-09-15,1.0,94110.0,Very Low,0,1,0,0,0,0
293,2017-09-15,0.0,94103.0,Very Low,0,1,0,0,0,0
294,2017-09-18,1.0,94103.0,Very Low,0,1,0,0,0,0
295,2017-09-19,20000.0,94123.0,Medium,0,0,0,1,0,0
296,2017-09-19,1.0,94133.0,Very Low,0,1,0,0,0,0
297,2017-09-20,1.0,94127.0,Very Low,0,1,0,0,0,0
298,2017-09-20,1.0,94121.0,Very Low,0,1,0,0,0,0
299,2017-09-20,100000.0,94109.0,Medium,0,0,0,1,0,0
300,2017-09-20,9000.0,94114.0,Low,1,0,0,0,0,0
301,2017-09-20,1.0,94114.0,Very Low,0,1,0,0,0,0
302,2017-09-20,111277.0,94122.0,High,0,0,1,0,0,0
303,2017-09-21,1.0,94121.0,Very Low,0,1,0,0,0,0
304,2017-09-21,111277.0,94109.0,High,0,0,1,0,0,0
305,2017-09-21,1.0,94131.0,Very Low,0,1,0,0,0,0
306,2017-09-21,1.0,94117.0,Very Low,0,1,0,0,0,0
307,2017-09-21,8500.0,94158.0,Low,1,0,0,0,0,0
308,2017-09-22,111277.0,94117.0,High,0,0,1,0,0,0
309,2017-09-22,1.0,94115.0,Very Low,0,1,0,0,0,0
310,2017-09-25,1.0,94123.0,Very Low,0,1,0,0,0,0
311,2017-09-26,1.0,94107.0,Very Low,0,1,0,0,0,0
312,2017-09-27,1.0,94131.0,Very Low,0,1,0,0,0,0
313,2017-09-27,244.0,94121.0,Very Low,0,1,0,0,0,0
314,2017-09-28,1.0,94121.0,Very Low,0,1,0,0,0,0
315,2017-09-28,1.0,94110.0,Very Low,0,1,0,0,0,0
316,2017-09-28,1.0,94108.0,Very Low,0,1,0,0,0,0
317,2017-09-29,1.0,94121.0,Very Low,0,1,0,0,0,0
318,2017-09-29,0.0,94122.0,Very Low,0,1,0,0,0,0
319,2017-10-02,1.0,94114.0,Very Low,0,1,0,0,0,0
320,2017-10-03,1.0,94114.0,Very Low,0,1,0,0,0,0
321,2017-10-03,1.0,94123.0,Very Low,0,1,0,0,0,0
322,2017-10-04,1.0,94131.0,Very Low,0,1,0,0,0,0
323,2017-10-04,1.0,94102.0,Very Low,0,1,0,0,0,0
324,2017-10-04,1.0,94117.0,Very Low,0,1,0,0,0,0
325,2017-10-04,1.0,94116.0,Very Low,0,1,0,0,0,0
326,2017-10-05,1.0,94131.0,Very Low,0,1,0,0,0,0
327,2017-10-05,1.0,94110.0,Very Low,0,1,0,0,0,0
328,2017-10-05,1.0,94110.0,Very Low,0,1,0,0,0,0
329,2017-10-05,1.0,94105.0,Very Low,0,1,0,0,0,0
330,2017-10-05,1.0,94117.0,Very Low,0,1,0,0,0,0
